Station Name,Latitude,Longitude
KRANJI,1.425238962,103.7621803
ONE NORTH,1.299655813,103.7873937
KALLANG,1.311395975,103.8713149
CHINESE GARDEN,1.34214431,103.7328141
TAMPINES,1.353288525,103.9451587
MACPHERSON,1.32636737,103.8902612
QUEENSTOWN,1.294610666,103.8060449
LITTLE INDIA,1.307159964,103.8493094
FARRER ROAD,1.317453904,103.8074888
EUNOS,1.319778565,103.9033615
BUONA VISTA,1.306760246,103.7903844
TOA PAYOH,1.332676726,103.8474209
STADIUM,1.302853433,103.8753476
BAYFRONT,1.281871245,103.8590761
LORONG CHUAN,1.351619089,103.8641438
WOODLEIGH,1.339206421,103.8708089
MARINA BAY,1.276278433,103.8548387
SEMBAWANG,1.449068967,103.8201935
DOVER,1.311394024,103.7786488
DOWNTOWN,1.279440821,103.8528508
TAN KAH KEE,1.325869938,103.8073305
MARYMOUNT,1.348775989,103.8394125
CHANGI AIRPORT,1.357307265,103.9883702
PASIR PANJANG,1.276229004,103.7913416
CHOA CHU KANG,1.385100278,103.7444053
PROMENADE,1.293157836,103.8609622
MARINA SOUTH PIER,1.271376715,103.8629106
PIONEER,1.337585835,103.6973182
HABOURFRONT,1.265456682,103.8214504
REDHILL,1.289618873,103.8167897
HOUGANG,1.371280509,103.8923472
BRADDELL,1.340443448,103.8467996
NICOLL HIGHWAY,1.299802163,103.8636328
SIXTH AVENUE,1.330784191,103.7973201
POTONG PASIR,1.331386722,103.8690696
JURONG EAST INTERCHANGE,1.333208358,103.7422629
LAKESIDE,1.344262483,103.720965
BUGIS,1.300129671,103.8562815
BEAUTY WORLD,1.341202896,103.7758186
BOTANIC GARDENS,1.322228633,103.8154689
TAI SENG,1.335452437,103.8881641
CLEMENTI,1.31507756,103.7652327
TIONG BAHRU,1.286219074,103.827034
TANAH MERAH INTERCHANGE,1.327253415,103.9465476
NEWTON,1.312957718,103.8380382
HOLLAND VILLAGE,1.311944951,103.796233
YISHUN,1.429581085,103.8349718
MOUNTBATTEN,1.30619312,103.8825467
YEW TEE,1.397548967,103.7474018
KENT RIDGE,1.293400272,103.7844976
CASHEW,1.369360918,103.7646969
ESPLANADE,1.293259234,103.8556114
KEMBANGAN,1.321037401,103.9129472
EXPO,1.334548694,103.9615459
OUTRAM PARK INTERCHANGE,1.280209716,103.8393536
SOMERSET,1.300256949,103.8390751
CALDECOTT,1.337657881,103.8395409
COMMONWEALTH,1.30244698,103.7982904
ANG MO KIO,1.369947993,103.849616
ORCHARD,1.303937079,103.832219
PUNGGOL,1.405131924,103.9023736
TANJONG PAGAR,1.276514365,103.8458532
LAVENDER,1.307371064,103.8628375
BISHAN INTERCHANGE,1.351085306,103.8487752
DAKOTA,1.308374488,103.888668
BRAS BASAH,1.296826107,103.8506552
MARSILING,1.432564502,103.7741937
BUKIT BATOK,1.34899598,103.7495403
SENGKANG,1.391527015,103.8954157
PASIR RIS,1.372951208,103.9492573
STEVENS,1.320065288,103.8260227
HAW PAR VILLA,1.282502236,103.781821
KING ALBERT,1.335637445,103.7838712
ROCHOR,1.303926894,103.8524386
CHINATOWN,1.284446712,103.8439317
BUANGKOK,1.382770917,103.8930921
RAFFLES PLACE INTERCHANGE,1.284066604,103.851459
ADMIRALTY,1.440586423,103.8009767
ALJUNIED,1.316431806,103.8829057
SERANGOON INTERCHANGE,1.350004824,103.8731369
DHOBY GHAUT INTERCHANGE,1.299374657,103.8457151
PAYA LEBAR INTERCHANGE,1.317667744,103.8925947
LABRADOR PARK,1.272322827,103.8029274
KOVAN,1.360179204,103.8850908
BEDOK,1.324010652,103.9301722
CITY HALL INTERCHANGE,1.292932571,103.8526082
SIMEI,1.343196772,103.9533768
YIO CHU KANG,1.38175694,103.8448005
NOVENA,1.320429415,103.8438178
BOON KENG,1.319446424,103.8616808
JOO KOON,1.327716192,103.6783866
FARRER PARK,1.312447561,103.8542698
HILLVIEW,1.362339423,103.7674289
BARTLEY,1.342846177,103.8797249
CLARKE QUAY,1.288541549,103.8466045
TELOK AYER,1.282279918,103.8483125
BOON LAY,1.338603357,103.7060587
KHATIB,1.417576142,103.8330377
WOODLANDS,1.436830494,103.7861634
BUKIT GOMBAK,1.358671255,103.7519098
TELOK BLANGAH,1.27058112,103.8097394
